Entrez_Id_1	Entrez_Id_2	Symbol_1	Symbol_2	Binary	BinarySingle	CoComplex	Prediction
2899	2915	GRIK3	GRM5	0	0	0	1
140685	51684	ZBTB46	SUFU	0	0	1	0
7126	253980	TNFAIP1	KCTD13	1	0	0	0
9610	84445	RIN1	LZTS2	1	0	0	0
712	959	C1QA	CD40LG	0	0	0	1
344387	664618	CDKL4	HSP90AB4P	0	0	1	0
3818	5624	KLKB1	PROC	0	0	0	1
2353	27128	FOS	CYTH4	1	0	0	0
8548	10142	BLZF1	AKAP9	1	0	0	0
7280	63971	TUBB2A	KIF13A	0	0	0	1
54793	91694	KCTD9	LONRF1	1	0	0	0
5876	326624	RABGGTB	RAB37	1	0	0	0
27289	55288	RND1	RHOT1	0	0	0	1
1616	2113	DAXX	ETS1	1	0	0	0
84733	386677	CBX2	KRTAP10-1	1	0	0	0
3456	3558	IFNB1	IL2	0	0	0	1
4686	8666	NCBP1	EIF3G	0	0	0	1
6657	54995	SOX2	OXSM	0	0	1	0
22981	6924	NINL	TCEB3	1	0	0	0
23308	56253	ICOSLG	CRTAM	0	0	0	1
5870	9545	RAB6A	RAB3D	0	0	0	1
6883	10629	TAF12	TAF6L	0	0	0	1
4929	5915	NR4A2	RARB	1	0	0	0
6337	6340	SCNN1A	SCNN1G	0	0	0	1
10981	51196	RAB32	PLCE1	0	0	0	1
286128	2192	ZFP41	FBLN1	0	0	1	0
3017	317772	HIST1H2BD	HIST2H2AB	0	0	0	1
4218	57403	RAB8A	RAB22A	0	0	0	1
5578	5584	PRKCA	PRKCI	0	0	0	1
23092	23623	ARHGAP26	RUSC1	0	0	0	1
7458	11051	EIF4H	NUDT21	0	0	1	0
1956	7046	EGFR	TGFBR1	0	0	0	1
11186	6789	RASSF1	STK4	0	0	1	0
10152	51334	ABI2	PRR16	1	0	0	0
1892	150472	ECHS1	CBWD2	1	0	0	0
9097	11124	USP14	FAF1	0	0	0	1
868	10539	CBLB	GLRX3	1	0	0	0
55156	816	ARMC1	CAMK2B	0	0	1	0
57142	54968	RTN4	TMEM70	0	0	1	0
1943	2043	EFNA2	EPHA4	1	0	0	1
5501	4288	PPP1CC	MKI67	0	0	1	0
9230	23011	RAB11B	RAB21	0	0	0	1
347240	347688	KIF24	TUBB8	0	0	0	1
706	9256	TSPO	BZRAP1	1	0	0	0
3798	7159	KIF5A	TP53BP2	1	0	0	0
25959	2801	KANK2	GOLGA2	1	0	0	0
25953	54793	PNKD	KCTD9	1	0	0	0
1141	2561	CHRNB2	GABRB2	0	0	0	1
